mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,spectral_centroids,spectral_bandwidth,spectral_contrast,spectral_rolloff,meanfreq,maxfreq,tone_results,oc_results,label
-337.3,97.6,-33,13,-2.5,-12.2,8,-18.4,-5.8,6.3,-14.2,-3.5,-4.4,-12.8,-3.3,-10.6,-11.9,-2.4,-3.7,-6.8,2654.3,2282.8,25.6,4732.5,2637.5,12535,0,134,멜로망스-취중고백
-321.4,122.3,-44,7.4,-26.9,-29.9,11.8,-23.3,-14.1,-3.1,-21.8,0.6,-3.9,-14,-1.4,-12.7,-8.6,-1.3,-8.8,-1.9,2250.5,2127.8,26,4380.4,2238.7,13230.4,0,133,바이브-가을 타나 봐
-270,87.2,-11.6,16.9,-25.8,11,-18,-5.3,-13.8,-9.2,-15.6,-5.6,-4.1,-14.4,-2,-8.9,-6.1,-0.7,-0.9,-11.1,4362.7,4083,24.9,8428.1,4362.7,12983.8,0,132,박명수-바보에게... 바보가
-312.2,109.6,-26.3,-0.9,-6.3,-4.7,3.5,-20.2,-3.7,-3.3,-21.6,1,-2.7,-12.9,-1.5,-9.3,-6,2.8,-5.8,-2.7,2073.5,2009.3,26.3,3845,2062.7,10734,0,142,박재정-헤어지자 말해요
-303.3,94.9,-47.6,18,-11.1,-26.5,1.5,-18.3,-9.1,-15.9,-20.5,3.5,-23.4,-16.7,10.8,-9.9,2.8,11.1,-7.5,6.8,2702.9,2201.2,26.5,5048.3,2702.9,10058.1,1,215,박화요비-그런일은
-364.9,88.8,-29.2,15.6,2.2,-2.8,11,-16.4,-6.5,-5.1,-18.2,-0.7,-8.4,-15.7,-8,-11.7,-3.4,-6.1,-8.7,3.6,2629.4,2524.2,25.3,5103,2611.5,13065.1,0,128,박효신-눈의 꽃
-308,116.3,-28.9,7.6,7.1,-18.4,-5.7,-7.1,-4.3,-3.9,-7.8,-1.2,-8.6,-9.1,-3.3,-9.3,-5.2,-5.2,-5.4,3,1900.5,1529,25.4,3313.8,1900.5,8958.4,0,130,박효신-야생화
-421.6,91.5,-57.7,8.9,-2.6,-22.1,-2.9,-17.2,-3.1,-11.2,-21.5,10.1,-6.5,-15.7,6.5,-9.5,-9.4,1.2,-8.5,-2.3,2746.7,2115.4,26.1,4832.7,2701,13347.6,0,111,버즈-가시
-283.4,182.2,-61.6,57.8,35.3,-6.5,32,-3.7,6.7,16.8,-12.4,6.4,-0.7,-9,5.4,-10.3,-3.7,1.3,-10.8,1.5,1896.6,1815.9,22.4,3839.4,1874.5,11968.6,0,127,버즈-나에게로 떠나는 여행
-318.5,99.7,-49.2,13,4.5,-20.4,-2.2,-9.6,-1.5,-8.2,-14.3,11.7,-4.3,-11,7.3,-7,-6.2,3.1,-9,-3.3,2403.4,2018.8,25.9,4361.9,2401,11829.1,0,131,버즈-남자를 몰라
-377.9,83,-30.5,19.2,-2.5,-12.3,7.7,-13.8,-0.5,-0.4,-14.7,5.4,-5.3,-10.7,3.6,-9.3,-4.9,1,-8.7,-1.3,3310.5,2311.4,24.7,5569.2,3300.9,11959.9,0,135,범진-인사
-343.6,74.8,-31.7,4.4,-19.2,-21.7,3.5,-16.9,-8.9,-3.4,-15.9,-2,-10.8,-10.5,10.6,5.3,5.8,11.3,1.8,1.8,2520.9,2366.7,26,4794.9,2512.2,16071.6,1,220,벤-열애중
-351.7,72,-23.4,2.8,-18.8,-9.2,7.9,-22.6,-5.8,3.3,-11.2,5,-6.2,-13.3,-0.2,-11,-6.1,1.6,-7.7,2.2,2809.8,2715.5,25.6,5584.9,2802.3,11264.9,0,131,부활-Never Ending Story
-344.5,78.7,-44.4,4.8,-3.7,-9.7,7.1,-9.1,4.3,0.8,-9.4,13.7,-2.5,-9,10.3,-0.8,5.6,15.3,1.6,8.7,1890.8,1865.8,27.1,3486,1889.5,10877.9,1,221,빅마마-체념
-334.5,106.3,-42.5,12.9,-26.3,-30,6.9,-29.5,-14.8,-2.1,-14.8,5.4,-14.1,-17,7.1,-15.5,-12.7,4,-6.7,-1.7,2623.3,2215.1,26.4,5127.9,2612.6,13243.1,1,191,"서인국, 정은지-All For You"
-327.1,100.9,-27.3,22.1,-4.9,-14,7.8,-19.8,-3.4,-2.3,-21.2,5.8,-4,-17.4,0.4,-9.8,-8.8,-0.2,-8.8,-3.3,2231.5,2346.9,25.4,4445.8,2224.1,14622.5,0,129,성시경-너의 모든 순간
-375.5,92,-41.1,26.6,-0.4,-4,10.4,-27.4,-0.2,-5,-25.9,9.1,-10.4,-19.9,3.4,-12.8,-4.5,0.9,-12.4,1.6,2957.2,2546.1,26.2,5717,2924.9,13857.2,0,125,성시경-희재
-344.8,80.7,-75.9,15.9,-12.1,-36.2,-0.9,-17.6,-0.6,-2.9,-13.6,9.9,-17.1,-16.5,9,-13,0.1,10.1,-4.3,15.9,3058,2022.5,28.8,5082.6,3048.2,12563.5,1,212,소녀시대-다시 만난 세계
-348.8,68.8,-54.9,14,-21.2,-18.9,16.1,-23.8,-4.1,3.1,-21.5,5.1,-2.1,-6.9,14.2,1.1,6.3,8.6,-7.2,4.9,3410.7,2115.9,26.9,5516.7,3408.9,11967.8,1,331,소찬휘-TEARS
-356.7,82.1,-43.3,28.7,-1.1,-11,13.2,-20.3,-0.9,1.3,-19.8,7.7,-3.5,-13.1,3.7,-9.9,-4.6,1.6,-8,0.8,3113.3,2236,26.3,5527.1,3010.6,11176.9,0,90,스탠딩에그-오래된노래
-331.6,96.9,-43.2,-1.1,-17.1,-22.6,2.9,-18.8,-9.4,-0.9,-11.3,7.1,-2.1,-12.3,2.6,-1.3,0.1,4.1,-2.3,5.3,2523.4,1895.3,27.8,4352.2,2518.3,11456,1,196,아이유-에잇
-349.3,62.3,-44.8,4.8,-11.1,-24.9,4.5,-4.9,-5,-2.1,-6.6,-0.2,-11,-7,3.7,-6.1,0.6,1.2,-5.3,8.2,3096.9,1969.5,27.5,4982.9,3089.9,11537.9,1,196,안예은-홍연
-421.4,78.6,-62.4,23.3,-0.5,-28.4,2.5,-13.2,-2.9,-4.3,-15,9.4,-6.8,-13.5,4.3,-10.6,-3.8,2.7,-10.2,1.9,3208.7,2301.5,25.8,5478.7,3161.8,10987.5,1,212,야다-이미슬픈사랑
-359.5,84.7,-35.8,13.4,-10.9,-13.9,11.8,-18.4,-5.5,0.4,-16.5,5.6,-3.4,-16,0.5,-4.8,-1.7,4.4,-1.6,5.6,2460.7,2259.2,25.7,4675.5,2271.9,11602.3,1,210,얀-그래서 그대는
-328.9,105,-55.3,27.6,-2,-26.3,12.9,-15.5,-16.2,-3.7,-6.2,5.5,-13.9,-12.5,2.8,-13.8,-4.2,0.1,-9.5,4.3,2628.7,1985.3,25.9,4770.1,2618.5,14968.6,1,181,에스파-Better things
-285.7,126.5,-45.1,15.7,-2.6,-25.5,4.6,-15.2,-12.7,-1.5,-8.9,-0.6,-11,-9.7,0.4,-10.6,-2.9,-1.6,-9.2,3.5,2360.2,1808.8,24.9,4222.2,2355.1,13613.3,1,175,에스파-도깨비불
-389.9,81.1,-57.3,5.4,-2.3,-23.6,-3.8,-14.6,-10.6,-11.9,-11.1,1.2,-19.5,-13.1,5.3,-6.5,6.5,10.8,-0.2,10.2,2690.8,2341.2,26.1,5043,2682.9,12272.3,1,233,에일리-첫눈처럼너에게가겠다
-333.9,96.9,-20.9,12.8,-21.2,-16.9,11.9,-25.4,-15.2,1.1,-15.3,-5.1,-8.9,-8.2,0.8,-13.3,-7.2,0.3,-10,-7.4,2567.8,2333.7,26.5,4798.9,2550.8,11148.5,0,124,우디 (Woody)-사막에서 꽃을 피우듯
-391.8,110.8,-47.3,22.1,-9.9,-19,12.8,-23.9,-7.9,-2.4,-22.8,2.6,-9,-15,3.1,-16.1,-7.6,6.4,-9.3,-4.9,2659.7,2223.3,25.9,5085.6,2593.5,14195,0,121,윤도현-사랑했나봐
-368.6,59.4,-32,21.4,-13.8,-13.4,12.2,-18.3,4.5,5.3,-18.2,8.6,-3.5,-11.8,11,-7.2,-6.1,10.3,-2.7,-2,3516.1,2591.9,26.8,6454.7,3491.3,10650.3,0,132,윤도현밴드-흰수염고래
-388.2,95.9,-75.5,4,-7.2,-33.6,0.3,-10.2,-10.3,-9.9,-7.9,5.4,-18.9,-14.3,4.4,-10.9,1.8,4.4,-5.8,15.4,2765.5,1915.7,26.6,4781,2740.7,12996.3,1,233,윤하-비밀번호 486
-249.6,90.2,-44.9,14.2,-25.1,2.8,-19.5,5.5,-4,-25.5,15.4,-15.5,-8.5,-6.6,-9.5,10,2,13.4,6.7,9.4,3068.9,2820.4,29.1,6093.7,3068.5,9734.2,1,264,윤하-사건의지평선
-435.7,90.2,-36.1,-0.5,-8.2,-14.4,-0.3,-14.3,-2.7,-8.8,-17.9,6.4,-4.6,-11.8,2.7,-8.6,-5.5,1,-9.1,-2.9,2946.1,2571.5,24.2,5564.6,2927.6,14194.9,0,128,이승기-삭제
-319.2,114.2,-20.2,7.1,-3.9,-13.4,1.9,-9.7,-1.8,-3.4,-13.8,3.1,-5.3,-13.6,-3,-7.9,-8.6,-4.9,-6.8,-6.2,2128.8,2023.7,25.1,3851,2119.9,15130.1,0,111,임영웅-사랑은 늘 도망가
-355.3,95.9,-24.2,33.6,4.1,-13.2,1.8,-21,7.4,6.7,-19.8,8.6,-1,-15,6.5,-2.9,-2.9,4.4,-7.4,-1.7,2030.2,2139.3,26.7,4225,2014.7,9855.9,0,133,임창정-소주 한 잔
-310.8,93.5,-48.7,16.1,-15.3,-19.3,15.4,-25.8,-14.6,5.6,-10.4,3.8,-5.4,-9.3,3.5,-10.8,0,10.4,-4.3,5.9,2268,2240,27.2,4551.6,2253.9,12179.5,0,135,임한별-사랑하지 않아서 그랬어
-343.3,100.2,-46,15.1,-17.2,-21.9,12.6,-28.2,-18,0,-14.4,-0.2,-10.5,-15.2,-3.4,-14.4,-1.4,3.6,-8.6,6.1,2326.1,2185,27.2,4488.1,2316.1,12976.4,0,136,임한별-이별하러 가는 길
-353.5,110.8,-45,-7.9,-4.2,-24.3,-6.3,-7.5,-8.8,-12.5,-10.9,3.4,-9.6,-14.2,-3.6,-10,-1.4,4,-6.4,1,2064.4,1657,25.7,3582.4,2037.1,10779.2,1,199,자우림-스물다섯 스물하나
-309.3,90.2,-37.4,16.9,-16.8,-23.3,16.2,-15.8,-12.4,-1.5,-16.9,2.4,-3.8,-14.3,-0.1,-12.4,-9.4,5,-5.2,-4,2445.8,2330.9,25.6,4908.7,2426.3,13441.3,0,153,정동하-추억은 만남보다 이별에 남아
-306.8,97.4,-35.7,11.4,-12.3,-12.8,6.2,-25,-3.7,0.1,-20.4,7.6,-2.3,-15.7,-1.7,-13.7,-9.1,0,-10.9,-2.5,2503.7,2410.2,25.6,5019.9,2499,13258.9,0,121,정승환-너였다면
-399.1,101.1,-55.3,-2.2,-12.4,-35.4,1.8,-4.3,-18.9,-16.6,-11.9,-7.9,-19.1,-12.2,-3.8,-10.1,3.6,3.7,-2.8,9.3,2158.3,1876.9,27.2,3988.9,2155.2,11570.2,1,195,"정인, 윤종신-오르막길"
-386.3,82.6,-43,20.8,0.9,-9.9,8.9,-16.9,2.8,-0.3,-22.9,9,3.4,-14.4,-1.4,-8.1,-4.8,-0.5,-9.7,-4.8,3227.9,2479.8,24.8,5781,3223.3,14171.6,0,132,정준일-안아줘
-344.9,75,-50.4,-2.1,-19.5,-17.4,6,-17.5,0.8,-1.1,-17.3,6.2,-9.1,-17.6,1.4,-4.9,4,7.1,-2.5,9,2958.1,2145.4,26.4,5046.4,2947.7,12517.3,1,273,"조유진, 박기영-나에게로의 초대"
-313.2,106.6,-34.2,13,-1.8,-6.8,12.7,-16.7,-2.7,3.4,-15.2,5.3,-2.1,-13.3,2,-6.6,-5.7,1.2,-9.1,-5.7,2162.7,2260.3,25.5,4228.7,2146.9,13688.1,0,105,조정석-아로하
-326.2,95.8,-45.3,5.3,-4.7,-18.6,-3.6,-18.7,-7.1,-8.2,-12.4,3.2,-17.1,-15,1.9,-10.4,2.8,6.4,-5.9,8.9,2456,2201.4,25,4609.5,2293.7,12909,1,215,지아-술 한잔 해요
-335.8,112.6,-50.9,16.6,-14.8,-24,7.9,-28.9,-13.5,-4.7,-22.6,-0.2,-11,-14.4,1.5,-13.9,-1.2,7.2,-5,9.1,2538.6,2163.8,25.4,4901.2,2518.1,12161.5,0,123,찰리푸스-dengerously
-300.7,118.2,-31.6,-2.7,-22.1,-23.1,4.1,-14.7,-9,-8.4,-13.5,9,-3.9,-11,-0.6,-8.8,1.4,5.4,-7.3,2.5,2173.6,1867.9,26.8,3978.3,2159.1,10785.3,0,110,찰리푸스-i don't think that i like her
-344.7,90.3,-78.3,11.1,-12.1,-30.8,5.3,-17.9,-0.4,1.4,-19.1,5.2,-7.8,-14.5,5.1,-3.7,7.1,8.3,-2.6,11.8,3157.3,2053.3,25.6,5395.1,3097,11560.5,1,466,체리필터-낭만고양이
-280.7,109.2,-58.4,15.1,2.4,-27.4,1.8,-8,-5.2,-6,-11.6,3,-13,-11.8,5.2,-7.6,0.7,7.3,-1.6,6.7,2266.5,1806,27.1,4062.5,2266.3,10469.8,1,232,코요태-우리의 꿈
-377.8,89.9,-61.3,13.1,-16.7,-13.8,15.6,-25.6,-0.7,-0.2,-20.9,11.5,-10.8,-15.2,13.2,-10.7,-4.4,6.3,-8.6,6.5,3125,2033.3,28.6,5241.5,3083.1,15532.7,1,215,쿨-애상
