mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,spectral_centroids,spectral_bandwidth,spectral_contrast,spectral_rolloff,meanfreq,maxfreq,label
-543.9499512,58.34555435,-12.47417736,8.596870422,10.03904343,-1.621073484,7.556300163,-5.049964428,-13.02005959,-1.163001299,-1.468555093,-0.888967991,1.719420671,-3.320400715,-0.846352637,0.540740728,-2.648478508,0.922916353,0.406304121,-3.290655136,2464.67022,1947.684422,19.60450752,4760.038154,2464.67022,3380.375276,0
-418.3930664,140.9009552,-5.699632168,14.72502136,-0.19923006,0.683534861,19.54417038,-11.47019196,-6.920356274,-1.212750793,-10.60123825,9.216990471,-4.728737354,-17.65986443,3.720726013,-1.796083689,-2.390824318,4.682378292,-5.973092079,0.472569674,2098.339066,1789.874725,22.21127646,3832.462754,2098.339066,4170.564318,0
-373.8228149,152.6634674,11.45271587,-6.733075619,-1.462263823,-14.00488663,-2.900125265,8.971909523,2.26613307,-8.738466263,-7.990006924,2.034308434,-1.456422687,-7.869911194,0.01324608,2.10717988,0.436573029,3.844778776,-3.246959448,-6.911856174,1353.403035,1370.060712,21.55611323,2571.986607,1353.403035,2200.266798,0
-399.7165527,125.4228363,52.88037872,21.92319679,3.570734024,6.847322941,-0.121605366,-20.83670044,-15.27511787,-7.441119194,1.095759273,9.068192482,-4.367863178,-2.487701654,4.995521069,-6.346652508,-1.770301342,1.228656411,-7.856563091,-1.182543039,906.2985882,1154.832881,23.84887355,1371.252725,906.2985882,2679.685415,0
-453.1838684,104.3550339,27.50849915,17.75943375,8.815518379,1.01376915,5.709326267,1.947249651,4.266264439,5.475889683,-2.148943424,-3.483941555,-6.46059227,-5.629221916,4.356060505,4.651315212,0.844402015,1.722691059,2.246165514,4.229070187,1759.561482,1561.75237,22.21356324,3553.915334,1759.561482,4687.746263,0
-342.8560791,177.1707153,1.675399184,34.51439667,15.96786785,-11.50919724,9.291505814,-4.472766399,3.01563859,10.82780266,-6.22173214,5.439078808,6.317662239,-2.498148203,5.461690903,0.716879904,1.016059399,4.295334816,-2.468407393,1.62669754,1406.040375,1526.805809,21.088714,2947.606286,1406.040375,2406.829606,0
-506.4902954,102.8564835,38.54123688,14.42305565,13.19273853,8.884368896,8.467551231,10.15788651,2.142418146,-8.606752396,-7.593417645,-1.556675434,-4.846782207,-10.26468372,-7.009386539,-3.227391481,-5.422851086,-5.246286869,0.945747197,2.740281343,1043.294771,1261.436988,21.56983738,1903.365734,1043.294771,2407.963287,0
-345.6617126,104.2467346,-22.16251945,37.47297668,24.60395241,3.501589537,24.23762321,-2.739635229,-3.785666466,1.06994772,-14.94588947,7.629927158,8.391852379,-7.979098797,3.12736249,-9.013960838,-12.82655525,3.94096756,-9.14262867,-11.31759262,2228.084064,1656.032677,24.10059051,3945.880269,2228.084064,5871.133377,0
-455.9491272,131.0748749,17.96450424,-7.838789463,12.76327801,18.89899445,8.325813293,-1.067242265,-0.7818048,-7.564649105,-14.39913082,-0.184357941,6.543489933,-7.470128059,-10.73002434,-3.823248386,-1.31280458,-0.535576046,-4.319014549,-3.587593794,1180.393435,1194.428949,21.28631217,2200.149891,1180.393435,2279.75322,0
-516.2376709,76.24829102,17.34432411,20.1693306,18.84989929,-13.77042484,-25.22379303,-7.154452801,2.818820715,-6.048054695,-10.11663246,-2.267903328,-1.362223864,-5.024871349,-0.636705041,0.717767358,-4.153409004,-2.8690207,1.357106805,0.343745381,2031.029512,1596.18478,19.24207906,3699.559411,2031.029512,4757.272866,0
-430.7769775,143.9028015,11.69926357,-8.228715897,8.484266281,-6.29681015,-15.11131191,-8.197647095,-5.173867226,-7.617141724,-9.877246857,-7.554068565,-6.296267509,-6.074925423,1.868858576,3.299312115,-7.168797493,-5.599685669,3.016414404,-1.425236821,1610.082609,1138.87722,21.02686788,2682.299237,1610.082609,4642.529865,0
-453.3263245,146.1516266,20.93834496,-0.571528196,-7.941677094,-9.569904327,-3.861329317,-15.20968914,-9.435006142,1.814376116,-0.849374056,-1.859743714,-6.166984081,-4.228443146,1.445446968,-0.89696312,6.152585506,7.539911747,-4.383656025,-2.241449118,1768.717092,1410.458025,20.9217856,3321.334484,1768.717092,4696.567862,0
-450.9706726,98.89757538,-2.32908082,17.59042549,30.61855698,15.40696907,14.60089016,3.371053934,-4.318211079,-4.129678249,-8.384886742,0.626877069,7.683846474,2.996017218,2.271619797,-2.955253839,-5.970050812,0.082692139,2.626248121,6.539787769,1658.072036,1588.928462,21.04764842,3243.640988,1658.072036,3714.1916,0
-330.539032,166.4204254,7.951698303,11.92724514,-0.666131556,-13.62553692,1.471021175,-5.001534462,8.129710197,14.57684231,1.740994811,3.96987772,-8.990174294,-11.70875359,8.741244316,5.684404373,0.481216341,-0.160403579,-5.977129459,2.902204275,1621.399881,1546.240896,21.90830289,3069.517624,1621.399881,4754.329828,0
-357.197998,145.2296448,4.631976128,3.090969563,34.08580017,14.6915226,-5.628256798,-4.602767944,-3.886291981,-12.05613899,-10.35727882,3.379394054,1.396197677,-6.556808472,-1.548718095,-4.609369278,-9.516441345,-0.334668219,-3.464905262,-13.92253113,1026.916907,1062.052488,22.60767787,1893.373001,1026.916907,1629.022066,0
-367.4058228,144.4275818,13.52079773,1.902108192,36.63070297,26.78503036,4.308837414,-0.437610686,-2.562063694,-6.086966515,-6.218031883,-9.05267334,-12.93240166,-6.713035583,1.25625658,-2.346606493,-5.286589622,-2.040515184,-6.96591711,-12.53406334,993.7651282,1046.424783,22.17573798,1810.932958,993.7651282,2284.982728,0
-628.2486572,115.6959,-6.027626038,-6.002548695,-5.720487118,-3.831286907,15.29726028,4.277693748,-6.056000233,-7.458493233,-10.57966042,-1.816306114,0.444037586,-3.337885618,-2.788555861,-2.160002947,6.273756981,6.558366776,-4.281841755,-3.685281277,2274.607459,1673.196578,20.2467723,4165.220749,2274.607459,3789.181045,0
-407.9765015,132.3904877,16.47093201,22.61849403,25.28336334,10.24359226,3.493667126,-8.115087509,-5.451573372,-8.041215897,-8.633086205,9.449647903,6.987697601,-1.835335016,0.156979531,-5.352688789,-0.043242726,5.618940353,-3.749446392,-5.354935169,1399.069411,1771.507704,21.52126767,3297.851563,1399.069411,2413.4586,0
-413.7303162,142.1893768,21.84878922,11.5514822,4.423724174,18.29188347,29.03170586,-6.50346756,-8.501616478,0.92014122,-11.16170979,-0.644603133,0.179474011,-8.213305473,3.500629425,1.832244277,-0.697809756,2.488896847,-10.45424938,-7.827030182,1317.796019,1497.802437,22.68048872,2406.749637,1317.796019,4617.117244,0
-498.7480774,141.0987244,24.73062706,8.334506035,5.182684898,10.37003326,4.611984253,-16.33451653,-4.350290298,-3.76601243,-8.170080185,9.249375343,-8.892145157,-21.66041565,4.265861034,2.681685209,-8.521951675,-1.929272056,-1.020918846,0.241257474,1482.979187,1565.098335,21.7193233,3047.78343,1482.979187,4540.152232,0
